uttid,wav_path,transcription,length_seconds
BAC009S0511W0138,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0511W0138.wav,"{'uttid': 'BAC009S0511W0138', 'text': '浙江银监局数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0511W0138.wav', 'rtf': '0.0071'}",3.207
BAC009S0096W0488,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0096W0488.wav,"{'uttid': 'BAC009S0096W0488', 'text': '制定基因检测的指南', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0096W0488.wav', 'rtf': '0.0071'}",3.332
BAC009S0223W0188,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0223W0188.wav,"{'uttid': 'BAC009S0223W0188', 'text': '这是一个系统性工程', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0223W0188.wav', 'rtf': '0.0071'}",2.603
BAC009S0109W0352,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0109W0352.wav,"{'uttid': 'BAC009S0109W0352', 'text': '据比利时环保部门监测', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0109W0352.wav', 'rtf': '0.0071'}",3.074
BAC009S0718W0189,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0189.wav,"{'uttid': 'BAC009S0718W0189', 'text': '动态调整新农合支付标准', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0189.wav', 'rtf': '0.0071'}",4.382
BAC009S0008W0195,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0008W0195.wav,"{'uttid': 'BAC009S0008W0195', 'text': '开展产险行业整体测试', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0008W0195.wav', 'rtf': '0.0071'}",3.501
BAC009S0352W0286,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0352W0286.wav,"{'uttid': 'BAC009S0352W0286', 'text': '并参观了一三生产线', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0352W0286.wav', 'rtf': '0.0071'}",3.435
BAC009S0665W0462,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0665W0462.wav,"{'uttid': 'BAC009S0665W0462', 'text': '目前嫌犯已被警方控制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0665W0462.wav', 'rtf': '0.0071'}",3.335
BAC009S0187W0144,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0187W0144.wav,"{'uttid': 'BAC009S0187W0144', 'text': '楼盘价格调整趋于理性', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0187W0144.wav', 'rtf': '0.0071'}",3.762
BAC009S0715W0294,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0715W0294.wav,"{'uttid': 'BAC009S0715W0294', 'text': '但特斯拉如果停止研发', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0715W0294.wav', 'rtf': '0.0071'}",3.474
BAC009S0025W0461,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0025W0461.wav,"{'uttid': 'BAC009S0025W0461', 'text': '立即启动命案侦破机制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0025W0461.wav', 'rtf': '0.0071'}",3.759
BAC009S0114W0334,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0114W0334.wav,"{'uttid': 'BAC009S0114W0334', 'text': '一方面检查机车运行情况', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0114W0334.wav', 'rtf': '0.0071'}",3.28
BAC009S0113W0214,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0113W0214.wav,"{'uttid': 'BAC009S0113W0214', 'text': '检查共发现二百个问题', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0113W0214.wav', 'rtf': '0.0071'}",3.21
BAC009S0021W0155,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0021W0155.wav,"{'uttid': 'BAC009S0021W0155', 'text': '国家统计局数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0021W0155.wav', 'rtf': '0.0071'}",2.73
BAC009S0517W0256,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0517W0256.wav,"{'uttid': 'BAC009S0517W0256', 'text': '我们县有这样的设备', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0517W0256.wav', 'rtf': '0.0071'}",2.731
BAC009S0163W0425,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0163W0425.wav,"{'uttid': 'BAC009S0163W0425', 'text': '因为昆凌就快要生产', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0163W0425.wav', 'rtf': '0.0071'}",2.839
BAC009S0111W0122,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0111W0122.wav,"{'uttid': 'BAC009S0111W0122', 'text': '国家统计局数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0111W0122.wav', 'rtf': '0.0071'}",3.123
BAC009S0360W0385,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0360W0385.wav,"{'uttid': 'BAC009S0360W0385', 'text': '实现可转换制冰系统', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0360W0385.wav', 'rtf': '0.0071'}",4.33
BAC009S0235W0230,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0235W0230.wav,"{'uttid': 'BAC009S0235W0230', 'text': '需要及时调整', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0235W0230.wav', 'rtf': '0.0071'}",2.392
BAC009S0661W0270,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0661W0270.wav,"{'uttid': 'BAC009S0661W0270', 'text': '尽管特斯拉善于品牌运作', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0661W0270.wav', 'rtf': '0.0071'}",3.128
BAC009S0597W0145,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0597W0145.wav,"{'uttid': 'BAC009S0597W0145', 'text': '并合理控制运营成本', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0597W0145.wav', 'rtf': '0.0071'}",2.898
BAC009S0124W0292,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0124W0292.wav,"{'uttid': 'BAC009S0124W0292', 'text': '如果未经测试没有注册', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0124W0292.wav', 'rtf': '0.0071'}",2.423
BAC009S0345W0131,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0345W0131.wav,"{'uttid': 'BAC009S0345W0131', 'text': '持续优化整个人居系统', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0345W0131.wav', 'rtf': '0.0071'}",3.503
BAC009S0085W0128,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0085W0128.wav,"{'uttid': 'BAC009S0085W0128', 'text': '据中原地产数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0085W0128.wav', 'rtf': '0.0071'}",3.282
BAC009S0138W0230,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0138W0230.wav,"{'uttid': 'BAC009S0138W0230', 'text': '加大农业生产支持力度', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0138W0230.wav', 'rtf': '0.0071'}",3.14
BAC009S0215W0227,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0215W0227.wav,"{'uttid': 'BAC009S0215W0227', 'text': '有利于社会关系的调整', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0215W0227.wav', 'rtf': '0.0071'}",2.725
BAC009S0133W0248,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0133W0248.wav,"{'uttid': 'BAC009S0133W0248', 'text': '继续固守传统业务模式', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0133W0248.wav', 'rtf': '0.0071'}",3.457
BAC009S0222W0466,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0222W0466.wav,"{'uttid': 'BAC009S0222W0466', 'text': '是公安系统备案的毒贩', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0222W0466.wav', 'rtf': '0.0071'}",3.346
BAC009S0192W0470,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0192W0470.wav,"{'uttid': 'BAC009S0192W0470', 'text': '医生正在为妇孕妇检查', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0192W0470.wav', 'rtf': '0.0071'}",4.002
BAC009S0243W0438,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0243W0438.wav,"{'uttid': 'BAC009S0243W0438', 'text': '游泳馆现已经暂停营业', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0243W0438.wav', 'rtf': '0.0071'}",3.823
BAC009S0147W0280,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0147W0280.wav,"{'uttid': 'BAC009S0147W0280', 'text': '让智能手机操作打印机', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0147W0280.wav', 'rtf': '0.0071'}",2.976
BAC009S0004W0328,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0004W0328.wav,"{'uttid': 'BAC009S0004W0328', 'text': '提供的数据大相径庭', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0004W0328.wav', 'rtf': '0.0071'}",2.346
BAC009S0351W0253,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0351W0253.wav,"{'uttid': 'BAC009S0351W0253', 'text': '生产最新型的存储芯片', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0351W0253.wav', 'rtf': '0.0071'}",3.345
BAC009S0597W0159,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0597W0159.wav,"{'uttid': 'BAC009S0597W0159', 'text': '并合理控制运营成本', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0597W0159.wav', 'rtf': '0.0071'}",2.808
BAC009S0664W0282,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0664W0282.wav,"{'uttid': 'BAC009S0664W0282', 'text': '特斯拉拓展直销模式', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0664W0282.wav', 'rtf': '0.0071'}",2.927
BAC009S0160W0279,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0160W0279.wav,"{'uttid': 'BAC009S0160W0279', 'text': '三洋电机则全面退出', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0160W0279.wav', 'rtf': '0.0071'}",3.307
BAC009S0138W0275,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0138W0275.wav,"{'uttid': 'BAC009S0138W0275', 'text': '色彩调整点相当于两倍', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0138W0275.wav', 'rtf': '0.0071'}",3.157
BAC009S0707W0165,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0707W0165.wav,"{'uttid': 'BAC009S0707W0165', 'text': '由此前的五年调整两年', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0707W0165.wav', 'rtf': '0.0071'}",3.292
BAC009S0139W0166,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0139W0166.wav,"{'uttid': 'BAC009S0139W0166', 'text': '根据亚豪机构数据统计', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0139W0166.wav', 'rtf': '0.0071'}",3.391
BAC009S0067W0201,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0067W0201.wav,"{'uttid': 'BAC009S0067W0201', 'text': '设定了严格的法律责任', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0067W0201.wav', 'rtf': '0.0071'}",3.233
BAC009S0035W0186,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0035W0186.wav,"{'uttid': 'BAC009S0035W0186', 'text': '成为最环保启动仪式', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0035W0186.wav', 'rtf': '0.0071'}",3.193
BAC009S0097W0286,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0097W0286.wav,"{'uttid': 'BAC009S0097W0286', 'text': '升级新系统有多大价值', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0097W0286.wav', 'rtf': '0.0071'}",3.216
BAC009S0234W0124,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0234W0124.wav,"{'uttid': 'BAC009S0234W0124', 'text': '从九月首周数据来看', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0234W0124.wav', 'rtf': '0.0071'}",3.327
BAC009S0129W0142,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0129W0142.wav,"{'uttid': 'BAC009S0129W0142', 'text': '从数据可以明显看出', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0129W0142.wav', 'rtf': '0.0071'}",2.551
BAC009S0512W0168,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0512W0168.wav,"{'uttid': 'BAC009S0512W0168', 'text': '可问题在于检测的工具', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0512W0168.wav', 'rtf': '0.0071'}",3.833
BAC009S0105W0124,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0105W0124.wav,"{'uttid': 'BAC009S0105W0124', 'text': '逐步降低企业融资成本', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0105W0124.wav', 'rtf': '0.0071'}",3.734
BAC009S0021W0210,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0021W0210.wav,"{'uttid': 'BAC009S0021W0210', 'text': '国家统计局数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0021W0210.wav', 'rtf': '0.0071'}",2.892
BAC009S0354W0189,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0354W0189.wav,"{'uttid': 'BAC009S0354W0189', 'text': '清洁生产审核的时限', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0354W0189.wav', 'rtf': '0.0071'}",3.574
BAC009S0007W0282,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0007W0282.wav,"{'uttid': 'BAC009S0007W0282', 'text': '提供全手动设置控制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0007W0282.wav', 'rtf': '0.0071'}",3.346
BAC009S0019W0263,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0019W0263.wav,"{'uttid': 'BAC009S0019W0263', 'text': '根据用户的运动数据', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0019W0263.wav', 'rtf': '0.0071'}",2.897
BAC009S0704W0156,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0704W0156.wav,"{'uttid': 'BAC009S0704W0156', 'text': '按揭的压力还是很大', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0704W0156.wav', 'rtf': '0.0071'}",2.943
BAC009S0087W0337,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0087W0337.wav,"{'uttid': 'BAC009S0087W0337', 'text': '通过系统数据的采集', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0087W0337.wav', 'rtf': '0.0071'}",2.848
BAC009S0718W0415,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0415.wav,"{'uttid': 'BAC009S0718W0415', 'text': '拍戏现场温度', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0415.wav', 'rtf': '0.0071'}",2.462
BAC009S0177W0186,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0177W0186.wav,"{'uttid': 'BAC009S0177W0186', 'text': '经济下行压力仍存十月', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0177W0186.wav', 'rtf': '0.0071'}",3.362
BAC009S0063W0137,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0063W0137.wav,"{'uttid': 'BAC009S0063W0137', 'text': '开发商资金压力过重', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0063W0137.wav', 'rtf': '0.0071'}",2.735
BAC009S0339W0336,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0339W0336.wav,"{'uttid': 'BAC009S0339W0336', 'text': '同时做好生产线改造', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0339W0336.wav', 'rtf': '0.0071'}",2.942
BAC009S0244W0418,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0244W0418.wav,"{'uttid': 'BAC009S0244W0418', 'text': '就惊现疑似压力 TOOL', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0244W0418.wav', 'rtf': '0.0071'}",2.593
BAC009S0205W0425,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0205W0425.wav,"{'uttid': 'BAC009S0205W0425', 'text': '导致工作全面暂停', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0205W0425.wav', 'rtf': '0.0071'}",2.948
BAC009S0052W0299,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0052W0299.wav,"{'uttid': 'BAC009S0052W0299', 'text': '将这些数据上传至云端', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0052W0299.wav', 'rtf': '0.0071'}",3.626
BAC009S0207W0216,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0207W0216.wav,"{'uttid': 'BAC009S0207W0216', 'text': '下阶段将持续监测分析', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0207W0216.wav', 'rtf': '0.0071'}",3.402
BAC009S0076W0362,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0076W0362.wav,"{'uttid': 'BAC009S0076W0362', 'text': '启动时脚步蹬地挺胯', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0076W0362.wav', 'rtf': '0.0071'}",3.019
BAC009S0706W0150,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0706W0150.wav,"{'uttid': 'BAC009S0706W0150', 'text': '并降低贷款上浮幅度', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0706W0150.wav', 'rtf': '0.0071'}",3.223
BAC009S0075W0245,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0075W0245.wav,"{'uttid': 'BAC009S0075W0245', 'text': '动态调整路线图清晰', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0075W0245.wav', 'rtf': '0.0071'}",3.202
BAC009S0714W0319,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0714W0319.wav,"{'uttid': 'BAC009S0714W0319', 'text': '并帮助企业管理数据', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0714W0319.wav', 'rtf': '0.0071'}",2.733
BAC009S0510W0131,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0510W0131.wav,"{'uttid': 'BAC009S0510W0131', 'text': '登记数据整合建库', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0510W0131.wav', 'rtf': '0.0071'}",3.014
BAC009S0359W0458,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0359W0458.wav,"{'uttid': 'BAC009S0359W0458', 'text': '火势已经得到初步控制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0359W0458.wav', 'rtf': '0.0071'}",3.071
BAC009S0243W0222,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0243W0222.wav,"{'uttid': 'BAC009S0243W0222', 'text': '进一步调整推广销售要求', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0243W0222.wav', 'rtf': '0.0071'}",3.885
BAC009S0710W0130,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0710W0130.wav,"{'uttid': 'BAC009S0710W0130', 'text': '易居研究院数据显示', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0710W0130.wav', 'rtf': '0.0071'}",2.811
BAC009S0194W0299,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0194W0299.wav,"{'uttid': 'BAC009S0194W0299', 'text': '当用户处于电脑模式时', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0194W0299.wav', 'rtf': '0.0071'}",3.065
BAC009S0006W0266,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0006W0266.wav,"{'uttid': 'BAC009S0006W0266', 'text': '与可穿戴设备相关的', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0006W0266.wav', 'rtf': '0.0071'}",2.988
BAC009S0118W0319,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0118W0319.wav,"{'uttid': 'BAC009S0118W0319', 'text': '随着进口设备不断降价', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0118W0319.wav', 'rtf': '0.0071'}",3.267
BAC009S0065W0299,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0065W0299.wav,"{'uttid': 'BAC009S0065W0299', 'text': '就需要智慧语言控制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0065W0299.wav', 'rtf': '0.0071'}",3.07
BAC009S0118W0285,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0118W0285.wav,"{'uttid': 'BAC009S0118W0285', 'text': '能否借鉴亚马逊的模式', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0118W0285.wav', 'rtf': '0.0071'}",3.103
BAC009S0718W0245,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0245.wav,"{'uttid': 'BAC009S0718W0245', 'text': '加强公立医院费用控制', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0718W0245.wav', 'rtf': '0.0071'}",3.623
BAC009S0050W0149,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0050W0149.wav,"{'uttid': 'BAC009S0050W0149', 'text': '据中国指数研究院监测', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0050W0149.wav', 'rtf': '0.0071'}",3.0
BAC009S0027W0284,audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0027W0284.wav,"{'uttid': 'BAC009S0027W0284', 'text': '我们分期付款设备回收', 'wav': 'audio/output_wavs_noisy_industrial-ambience_SNR20/BAC009S0027W0284.wav', 'rtf': '0.0071'}",4.182
